
 MIDACO 6.0    (www.midaco-solver.com)
 -------------------------------------

 LICENSE-KEY:  MIDACO_LIMITED_VERSION___[CREATIVE_COMMONS_BY-NC-ND_LICENSE]

 ----------------------------------------
 | OBJECTIVES    2 | PARALLEL         1 |
 |--------------------------------------|
 | N             4 | MAXEVAL    1000000 |
 | NI            0 | MAXTIME     172800 |
 | M             0 | PRINTEVAL     1000 |
 | ME            0 | SAVE2FILE        1 |
 |--------------------------------------|
 | PARAM(10)  0.1000000E+04 PARETOMAX   |
 | PARAM(12)  0.1000000E+01 BALANCE     |
 ----------------------------------------


 [     EVAL,    TIME]   MULTI-OBJECTIVE PROGRESS   VIOLATION OF G(X)
 -------------------------------------------------------------------   [PARETO]
 [   116000, 1956.86]   PRO:          0.26590103   VIO:     0.000000   [    32]
 [   117000, 1973.72]   PRO:          0.26590103   VIO:     0.000000   [    32]
 [   118000, 1990.57]   PRO:          0.26590103   VIO:     0.000000   [    32]
 [   119000, 2007.41]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   120000, 2024.27]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   121000, 2041.12]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   122000, 2057.98]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   123000, 2074.86]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   124000, 2091.69]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   125000, 2108.55]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   126000, 2125.37]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   127000, 2142.17]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   128000, 2159.02]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   129000, 2175.85]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   130000, 2192.70]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   131000, 2209.53]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   132000, 2226.40]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   133000, 2243.21]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   134000, 2260.04]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   135000, 2276.88]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   136000, 2293.72]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   137000, 2310.55]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   138000, 2327.37]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   139000, 2344.23]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   140000, 2361.10]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   141000, 2377.94]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   142000, 2394.78]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   143000, 2411.62]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   144000, 2428.48]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   145000, 2445.36]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   146000, 2462.23]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   147000, 2479.03]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   148000, 2495.89]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   149000, 2512.71]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   150000, 2529.53]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   151000, 2546.39]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   152000, 2563.21]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   153000, 2580.07]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   154000, 2596.91]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   155000, 2613.73]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   156000, 2630.55]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   157000, 2647.40]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   158000, 2664.23]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   159000, 2681.04]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   160000, 2698.19]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   161000, 2715.06]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   162000, 2731.89]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   163000, 2748.73]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   164000, 2765.56]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   165000, 2782.40]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   166000, 2799.21]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   167000, 2816.04]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   168000, 2833.01]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   169000, 2849.89]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   170000, 2866.69]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [   171000, 2883.56]   PRO:          0.26590103   VIO:     0.000000   [    33]
